Accession Number,Title,Subject,Description,Period,Creator,Place of Origin,Condition,Notes,Location,Contributor/  Donor,Filenames
2009.01.627,White lace scarf with scalloped edges,Costume; Accessories; Scarves,"Creamy white lace scarf with scalloped edges, 11x50 inches.",Before 2009,Unknown,,Very good condition.,,KHW66H,Kathleen Kubas,
2009.01.629,Donna Karan New York black crochet beanie hat,Costume; Headgear; Hats,Black crochet cotton/rayon beanie hat.,Before 2009,Donna Karan New York,Hong Kong,Very good condition.,,KHW66H,Kathleen Kubas,
2009.01.630,Donna Karan New York purple crochet beanie hat,Costume; Headgear; Hats,Deep purple cotton/rayon crochet beanie hat.,Before 2009,"Donna Karan New York, Made in Hong Kong",Hong Kong,Very good condition.,,KHW66H,Kathleen Kubas,
2009.01.631,Dusty rose pink knitted beanie hat,Costume; Headgear; Hats,Dusty rose pink knitted beanie hat.,Before 2009,Unknown,,Fair condition. Some holes visible,Very fragile.,KHW66H,Kathleen Kubas,
2009.01.632,Givenchy Nouvelle Boutique beige wool beret ,Costume; Headgear; Hats,Beige wool beret with olive green band.,Before 2009,Givenchy Nouvelle Boutique,,Good condition.,,KHW66H,Kathleen Kubas,
2009.01.633,Gras Frog Studio felted wool scarf,Costume; Accessories; Scarves,"Black, gray and white felted wool scarf, irregular edges, 4x34 inches.",Before 2009,Gras Frog Studio,Chicago,Very good condition.,,KHW66H,Kathleen Kubas,
2009.01.634,Papagena purple felted wool and net scarf,Costume; Accessories; Scarves,"Deep purple felted wool and net scarf, 5x46 inches. ",Before 2009,"Papagena, Ile de Ré",,Very good condition.,Includes copper circular disk from looped leather cord.,KHW66H,Kathleen Kubas,
2009.01.635,Black silk tie with decorative metal 'buttons',Costume; Accessories; Neckwear,Black silk womenswear tie with decorative metal 'buttons'.,Before 2009,The Limited,,Very good condition.,"Decorative elements include faux watches, hearts, floral buttons",KHW66H,Kathleen Kubas,
2009.01.636,Gray knit scarf,Costume; Accessories; Scarves,"Gray knit/crochet scarf with multiple textures, 4x100 inches. ",Before 2009,Unknown,,Very good condition.,Possibly used as a belt,KHW66H,Kathleen Kubas,
2009.01.637,Black and cream polka dot chiffon scarf with ruffles,Costume; Accessories; Scarves,Black and cream polka dot chiffon scarf with ruffles.,Before 2009,Unknown,,Very good condition.,,KHW66H,Kathleen Kubas,
2009.01.638,Beige machine lace neck dickie,Costume; Accessories; Neckwear,Beige machine lace neck dickie.,Before 2009,Unknown,,Fair condition. Tear near neckline.,,KHW66H,Kathleen Kubas,
2009.01.639,Black machine lace scarf,Costume; Accessories; Scarves,"Black machine lace scarf, 6x62 inches.",Before 2009,Unknown,,Very good condition.,,KHW66H,Kathleen Kubas,
2009.01.640,Beige silk neck-tie,Costume; Accessories; Neckwear,"Beige silk womenswear neck-tie, 3x24 inches.",Before 2009,Unknown,,Very good condition.,,KHW66H,Kathleen Kubas,
2009.01.641,Purple lace collar ,Costume; Accessories; Neckwear,"Purple lace collar with black leather, gold chain, peacock feather and corded button. ",Before 2009,Pille Chaim ,,Very good condition.,Very eccentric mix of materials and textures,KHW66H,Kathleen Kubas,
2009.01.642,Pleated black silk scarf with ruffled edges,Costume; Accessories; Scarves,Pleated black silk scarf with ruffled edges.,Before 2009,Unknown,,Very good condition.,,KHW66H,Kathleen Kubas,
2009.01.643,"Yellow, orange and purple chiffon scarf",Costume; Accessories; Scarves,"Yellow, orange and purple chiffon scarf.",Before 2009,Unknown,,Very good condition.,,KHW66H,Kathleen Kubas,
2009.01.644A+B,Brown suede cuffs with ties,Costume; Accessories; Handwear,"Brown suede cuffs with ties. Beaded with silver beads and trimmed with reddish fur (possibly rabbit); Label reads: ""Hand made in France""",Before 2009,Unknown,France,Good condition.,One part is considerably shorter than the other. Perhaps neckpiece and cuff?,KHW66H,Kathleen Kubas,
2009.01.645,ManGiameni burgundy plastic purse with silk cord staps,Costume; Accessories; Purses,Burgundy plastic purse with silk cord staps. ,Before 2009,ManGiameni,"Milan, Italy",Good condition.,"Label reads: ""ManGiameni, Milano, Made in Italy""",KHW66H,Kathleen Kubas,
2009.01.650,Chloe Paris brown leather belt ,Costume; Accessories; Belt,Brown leather belt with buckle.,Before 2009,Chloe Paris,,Good condition.,,KHW66H,Kathleen Kubas,
2009.01.651,Prada dark brown kid leather oversize purse,Costume; Accessories; Purse,"Dark brown kid leather oversize purse, inner cotton pocket with zipper.",Before 2009,Prada,,Very good condition.,Very fine quality leather (like butter),KHW66H,Kathleen Kubas,
2009.01.652,Carols Falchi  light brown suede leather purse,Costume; Accessories; Purse,Light brown suede leather purse with printed leather trim and handle. Flap is ruched with suede ties. Lining is decorative floral printed cotton. ,Before 2009,Carols Falchi,,Very good condition.,"Label reads: ""Fatto a mano by Carols Falchi""",KHW66H,Kathleen Kubas,
2009.01.657,White fox wrap,Costume; Accessories; Shawl,White fox fur wrap with tails. Lined in brown satin.,Before 2009,Unknown,,Very good condition.,,KHW64B Bin #4,Kathleen Kubas,
2009.01.658,Red fox wrap,Costume; Accessories; Shawls,Red fox collar/neck wrap lined in brown satin. Closes at front with hook and eye. ,Before 2009,Unknown,,Good condition.,,KHW64B Bin #1,Kathleen Kubas,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Fur&Fea_2009.01.658_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Fur&Fea_2009.01.658_Det_3_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Fur&Fea_2009.01.658_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Fur&Fea_2009.01.658_Det_1_Web.jpg"
2009.01.659,Orange and beige dyed Mongolian fur scarf,Costume; Accessories; Scarves,Orange and beige dyed Mongolian fur scarf,Before 2009,Unknown,,Very good condition.,,KHW64B Bin #5,Kathleen Kubas,
2009.01.660,Black and purple dyed Mongolian fur scarf,Costume; Accessories; Scarves,Black and purple dyed Mongolian fur scarf,Before 2009,Unknown,,Very good condition.,,KHW64B Bin #5,Kathleen Kubas,
2009.01.661,Beige fur belt ,Costume; Accessories; Belts,Beige fur belt ,Before 2009,Unknown,,"Good condition, fur is matted",Fur is so narrow that was likely used as a belt. ,KHW64B Bin #5,Kathleen Kubas,
2009.01.662,Kernon golden fox fur purse ,Costume; Accessories; Purses,Golden fox fur purse with brown leather straps with gold decorative hardware. Lined in brown cotton.,Before 2009,Kernon,,Very good condition.,,KHW64B Bin #5,Kathleen Kubas,
2009.01.663,Coyote fur wrap,Costume; Accessories; Shawls,"Coyote fur wrap with plastic eyes, intact body and limbs. Front collar clip and black toggle closure.",Before 2009,Unknown,,Good condition.,Dramatic fur,KHW64B,Kathleen Kubas,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Fur&Fea_2009.01.663_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Fur&Fea_2009.01.663_Det_4_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Fur&Fea_2009.01.663_Det_3_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Fur&Fea_2009.01.663_INS_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Fur&Fea_2009.01.663_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Fur&Fea_2009.01.663_F34_Web.jpg"
2009.01.664,Cream loosely knit wool dress with cowl neck,Costume; Garments; Dress,"Cream loosely knit wool dress, with short sleeves, cowl neck and scalloped hem. Lined in cream acrylic.",Before 2009,Unknown,,Good condition.,"Handmade, possibly homemade or custom made",Box 201,Kathleen Kubas,
2009.01.665,White cotton nightgown with pink ribbon straps,Costume; Garments; Nightgowns,White cotton nightgown with machine lace bodice and pink ribbon straps. Front button closures. ,Before 1983,Simpsons Made in France,France,Good condition.,"Label reads: ""Simpsons Made in France""",KHW64B,Kathleen Kubas,
2009.01.666,Holt Renfrew fuschia pink shawl,Costume; Accessories; Shawls,"Fuschia pink 65% wool, 20% nylon and 15% cashmere wrap/shawl",Before 2009,Holt Renfrew,,Good condition.,Blanket like coat/wrap,Box 203,Kathleen Kubas,
2009.01.667,Dolce & Gabbana pink wool coat,Costume; Garments; Coats,"Fuschia pink wool coat with leopard silk lining, snap closures, stand pocket detail with top stitching.",Before 2009,Dolce & Gabbana,,Good condition.,Luxurious coat and spectacular lining. ,KHW66C,Kathleen Kubas,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.667_BCK_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.667_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.667_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.667_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.667_INS_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.667_RGT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.667_Det_12_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.667_Det_10_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.667_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.667_Det_13_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.667_INS_1_Web.jpg"
2009.01.668A+B,Calvin Klein cream cashmere sleeveless top and square shawl ,Costume; Garments; Blouses; Shawls,A. Cream cashmere sleeveless top B. Matching square wrap/shawl ,Before 1990,Calvin Klein,,Good condition.,Retailer label Creeds.,Box 200,Kathleen Kubas,
2009.01.669,Beige and cream knit shawl,Costume; Accessories; Shawls,Beige and cream knit shawl with shaped neckline and band around edge of neckline and hem.,Before 2009,Unknown,,Good condition.,,Box 202,Kathleen Kubas,
2009.01.670,Ilana Wolf gray sheered velvet long coat ,Costume; Garments; Coats,Gray sheered velvet long coat with silver buttons and gray fox collar. Lined in gray satin.,Before 2009,Ilana Wolf New York,"New York, USA",Very good condition.,Dramatic evening coat. Very long and narrow cut.,KHW64B,Kathleen Kubas,
2009.01.671,Claude Montana Paris cream silk shirt with Robespiere collar,Costume; Garments; Blouses,Cream silk painter style cropped shirt with Robespiere collar. Back is pleated and back of shirt dips lower than front. ,Before 2009,Claude Montana Paris. ,Italy,Good condition. Some makeup stains near collar.,"Label reads: ""Claude Montana Paris. Made in Italy. Size 44/10"".",KHW66C,Kathleen Kubas,
2009.01.672,Oscar de la Renta cream silk tafetta blouse with ruffle collar,Costume; Garments; Blouses,"Cream silk tafetta blouse with ruffle collar, neck ties and ruffled cuffs on gathered sleeves",Before 2009,Oscar de la Renta. ,USA,Good condition.,Collar is very high and Edwardian in styling.,KHW66C,Kathleen Kubas,
2009.01.673,Claude Montana Paris wine coloured corduroy coat with quilted collar and cuffs,Costume; Garments; Coats,"Wine coloured corduroy coat with quilted collar and cuffs. Concealed side pockets and self-tie belt. Label reads: ""Claude Montana Paris. Made in Italy. Size 44/10""",Before 2009,Claude Montana Paris ,Italy,Good condition.,Fabric has luxurious velvet-like pile but is made of 100% cotton. Lining is 60% nylon and 40% polyurethane. ,KHW66C,Kathleen Kubas,
2009.01.675_A+B,Valentino Boutique gray pinstripe wool womenswear trousers and frock coat,Costume; Garments; Jackets; Trousers,A. Gray pinstripe wool womenswear trousers. B. Matching frock coat. ,Before 2009,Valentino Boutique,,Very good condition.,Coat is very long. ,KHW66C,Kathleen Kubas,
2009.01.676_A+B,Chloe blue wool jacket and skirt ,Costume; Garments; Skirts; Jackets; ,"A. Blue wool box-cut jacket with inset sleeves, decorative beaded over-panel lined in red silk, attached at collar, black velvet Mandarin collar. B. Matching panel skirt with kick pleat",2000-2009,Chloe,"Paris, France",Good condition.,European designer label sold at Holt Renfrew Boutique. Interesting decorative beading/trim detail.,KHW66C,Kathleen Kubas,"/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.676_A+B_Det_3_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.676_A+B_BCK_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.676_A+B_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.676_A+B_Det_4_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.676_A+B_RGT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.676_A+B_INS_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.676_A+B_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.676_A+B_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.676_A+B_INS_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.676_A+B_LBL_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.676_A+B_Det_5_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.676_A+B_INS_5_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.676_A+B_LBL_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.676_A+B_Det_9_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.676_A+B_Det_6_Web.jpg"
2009.01.678_A+B+C,Missoni green herringone knit ensemble,Costume; Garments; Skirts; Coats; Sweaters,"A. Green herringbone knit top B. Matching skirt. C. Matching blanket overcoat with hood, gathered sleeves with cuffs.",2000-2005,Missoni,Italy,Good condition.,,KHW66C,Kathleen Kubas,
2009.01.680,Issey Miyake felted wool blanket coat,Costume; Garments; Coats,"Brown, black and cream felted wool blanket coat, lined in quilted polyester satin, single button closure on left shoulder",1990-2000,Issey Miyake,,Very good condition.,Japanese styling. Unusual construction and textile. ,KHW66C Rack #1,Kathleen Kubas,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.680_Det_18_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.680_BCK_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.680_INS_4_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.680_Det_14_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.680_RGT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.680_INS_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.680_INS_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.680_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.680_Det_9_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.680_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.680_Det_3_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.680_Det_12_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.680_Det_15_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.680_Det_16_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.680_Det_10_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.680_Det_20_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.680_Det_8_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.680_Det_7_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.680_Det_11_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.680_Det_13_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.680_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.680_Det_17_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.680_Det_19_Web.jpg"
2009.01.681,"Brown mixed material coat with fringe trim, irregular hem and extended collar",Costume; Garments; Outerwear,"Brown suede, fur and fabric coat with fringe trim, irregular hem and extended collar.",Before 2009,Unknown,,Very good condition.,Very unusual use of mixed materials,KHW64B,Kathleen Kubas,
2009.01.682A+B,Giorgio Armani cashmere cableknit top and matching shawl,Costume; Garments; Sweaters; Shawls,"A. Light brown cashmere cable-knit long sleeved sweater with small collar, and blue trim around neckline and sleeve. B. Matching blanket-like wrap/shawl.",Before 2009,Giorgio Armani,,Very good condition.,Wrap has banded detail around edge and is contructed as one piece with shaped neckline. ,Box 201,Kathleen Kubas,
2009.01.683_A+B,Basile purple and brown herringbone wool jacket and skirt suit,Costume; Garments; Jackets; Skirts,Purple and brown herringbone wool jacket and skirt suit. A. Jacket has two-piece sleeves with welt pockets. B. Straight skirt is knee-length with side closure. ,1990s,Basile ,Italy,Good condition. Skirt has stain at waistband.,Made in Italy label,KHW64A,Kathleen Kubas,
2009.01.684_A_+B,Missoni burgundy knit jersey dress and coat,Costume; Garments; Dress; Coats,"A. Burgundy textured knit jersey pullover dress with turtleneck collar and long gathered sleeves B. Matching overcoat with elbow length wide sleeves, self-tie. Made in Italy for Creeds Toronto. 100% wool. ",Before 1990,Missoni,Italy,Very good condition.,Non-traditional piece for label. Beautiful texture of fabric. ,KHW66C,Kathleen Kubas,
2009.01.685_A+B,Moschino Cheap and Chic black cropped jacket with red Peter Pan collar ,Costume; Garments; Jackets; Skirts,"Black cropped jacket with red Peter Pan collar and red/white circular applique, decorative buttons with text. B. Matching skirt.",1990s,Moschino Cheap and Chic,,Good condition.,Fabric is rayon and acetate blend.,KHW66C,Kathleen Kubas,
2009.01.686,Kenzo kimono style jacket,Costume; Garments; Jackets; ,"Silk, wool and tweed kimono style jacket. Decorative tie near neckline. Possibly missing belt.",F/W 2004,Kenzo,Japan,Very good condition.,Beautiful combination of textiles. Small patch of wear near shoulder.,KHW66C,Kathleen Kubas,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.686_LBL_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.686_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.686_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.686_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.686_Det_6_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.686_INS_3_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.686_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.686_INS_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.686_RGT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.686_Det_5_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.686_BCK_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.686_INS_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.686_Det_3_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.686_Det_4_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.686_Det_7_Web.jpg"
2009.01.687_A+B,Moschino Couture Fuschia pink  wool knit jacket and co-ordinating green vest,Costume; Garments; Jackets; Vests,A. Fuschia pink 100% wool knit womenswear jacket with green felt collar with floral applique. B. Co-ordinating green vest with front button closure,Before 2009,Moschino Couture,,Very good condition.,Collar is constructed like leaf petals,KHW66C,Kathleen Kubas,
2009.01.689,Karl Lagerfeld purple wool car coat ,Costume; Garments; Coats,"Purple wool car coat with red wool stand collar and cuffs, lined in purple satin, large patch pockets with flaps, self belt.",1980-1990,Karl Lagerfeld,,Very good condition.,Big shoulder pads. Beautiful purple satin lining. Size 38.,KHW66C,Kathleen Kubas,
2009.01.690,"Issey Miyake, Holt Renfrew",Costume; Garments; Blouses,Horizontal pleated black silk box cut top with raglan sleeves,Before 2009,"Issey Miyake, Holt Renfrew",,Very good condition.,Labels are discoloured.,KHW66H,Kathleen Kubas,
2009.01.691,Missoni purple patterned wool dress,Costume; Garments; Dress; ,"Purple, blue and black patterned wool, mohair and nylon dress. Shawl collar, long sleeves, gathered skirt with front button closure. Label reads: ""Missoni, Made in Italy for Creeds""",Before 2009,Missoni,Italy,Good Condition.,Classic Missoni styling,Box 200,Kathleen Kubas,
2009.01.692,Holt Renfrew light brown cashmere knit sweater,Costume; Garments; Sweaters,Light brown cashmere knit sweater,Before 2009,Holt Renfrew,,Fair condition. Visible holes on shoulder and sleeves.,,Box 201,Kathleen Kubas,
2009.01.693,Claude Montana Black cashmere blanket coat with leather trim,Costume; Garments; Coats,Black cashmere blanket coat with leather trim,1980-1990,Claude Montana,,Very good condition.,Blanket like coat,KHW66H,Kathleen Kubas,
2009.01.694,Linda Campisano straw picture hat,Costume; Headgear; Hats,"Natural straw picture hat with, voluminous, draped sinamay and scattered black sequins. ",After 1990,Linda Campisano ,Chicago,Very good condition.,Kathleen Kubas Collection. Avant-garde design. Beautiful original box. Business card in bottom of box,KHW66H,Kathleen Kubas,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.694_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.694_RGT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.694_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.694_BCK_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.694_F34_Web.jpg"
2009.01.695,Philip Treacy black straw womenswear top hat ,Costume; Headgear; Hats,Womenswear top hat constructed from black straw. Base of crown is wrapped in a reinforced satin band. Grouping of black feathers are placed off center. Lined with navy blue silk satin. ,"After 1990, Before 2009",Philip Treacy,,Very good condition.,,KHW66H,Kathleen Kubas,
2009.01.696,Whiteley orange twill weave modified sunhat,Costume; Headgear; Hats,Orange twill weave modified sunhat with tall asymmetrical crown and asymmetrical brim. Large orange silk rose on right side of crown with a twisted  orange pheasant quill and orange sinamay twisted ribbon. Retailer label Holt Renfrew,"After 1990, Before 2009",Whiteley ,,Good condition. Sweat stain on inside of crown.,Jarring colour and over the top embellishments. ,KHW66H,Kathleen Kubas,
2009.01.697,Eric Javits black velvet 'Mary Poppins' hat  with floppy brim,Costume; Headgear; Hats,Black velvet 'Mary Poppins' hat  with floppy brim. Three large purple velvet roses adorn the front of the crown. ,"After 1983, Before 2009",Eric Javits,,Good condition. Inside of brim has minimal makeup smudges., Velvet is in perfect condition.,KHW66C,Kathleen Kubas,
2009.01.698,Marzi black sinamay saucer hat with asymmetrical brim,Costume; Headgear; Hats,Black sinamay saucer hat with asymmetrical brim. Strips of twisted and stiffened self-fabric are  draped around the brim and are embroidered with small white wool balls. ,"After 1990, Before 2009",Marzi,,Fair condition. Crown is warped. ,Twisted sinamay strips and white wool balls are reminiscent of pussy willows. ,KHW66C,Kathleen Kubas,
2009.01.699,Kōkin New York black organza cartwheel hat with delicate wildflower embroidery,Costume; Headgear; Hats,"Black organza cartwheel hat with delicate wildflower embroidery in green, pink and yellow pastels. Brim is supported by netting and wiring. Rouched self-fabric hatband sash is tied into a bow at rear of crown. Black silk flower are sprinkled around crown. ","After 1983, Before 2009",Kōkin New York,,Good condition. ,Delicate wildflowers offset the sheer size of this hat.,KHW66C,Kathleen Kubas,
2009.01.700,Marzi oversized black and white halo hat,Costume; Headgear; Hats,"Oversized halo hat with tiered black and white mesh brim and contrasting black staw crown. 53 cm diameter brim. Label reads: ""Made in Florence for Neiman Marcus""","After 1990, Before 2009",Marzi,"Florence, Italy",Very good condition.,Avant garde. Dramatic mesh halo brim creates a swirling appearance around the face. ,KHW66C,Kathleen Kubas,
2009.01.701,Bailey Tomlin copper lampshade hat,Costume; Headgear; Hats,Copper sinamary twill weave lampshade hat with copper grosgrain ribbon twisted around hat to give hat the appearance of a large rose.,"After 1990, Before 2009",Bailey Tomlin,,Good condition. Brim is slightly warped on right side.,Copper sprayed grosgrain give the hat an iridescent quality. Beautiful rose effect is the highlight of the design of this straw hat. ,KHW66H,Kathleen Kubas,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.701_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.701_BCK_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.701_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.701_LBL_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.701_RGT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.701_Det_5_Web.jpg"
2009.01.702,Peter Bettley modified womenswear fedora with large slanted crown and asymmetrical brim,Costume; Headgear; Hats,"Modified fedora with large slanted crown and asymmetrical brim. Constructed from natural, bias cut sinamay. Brim is lined with black lace and trimmed in 1cm black dupioni silk. 3cm wide black dupioni silk hat band. Side of crown is adorned with black fabric rosette and black hand cut feathers. ","After 1990, Before 2009",Peter Bettley,,Good condition. Brim is slightly warped at rear of crown with minor sweat stains on inner crown.,Dramatic modied fedora with oversized proportions. ,KHW66H,Kathleen Kubas,
2009.01.703,Oscar de la Renta Mongolian Sheep fur hat ,Costume; Headgear; Hats,Camel coloured felt breton trimmed in mongolian sheep fur. ,After 1990,Oscar de la Renta,,Good condition. Inside of crown has signs of wear. ,Halo effect of the sheep fur trim gives the hat uniqueness. ,KHW66H,Kathleen Kubas,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.703_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.703_RGT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.703_LBL_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.703_BCK_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.703_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.703_Det_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.703_TOP_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.703_B34_Web.jpg"
2009.01.704,Lilliput Hats black felted wool dish hat,Costume; Headgear; Hats,Black felted wool dish hat with fine black feathers trimming the brim. Lilliput Hats label.,After 1990,Karyn Gingras,,Good condition.  Minimal makeup smudges on inside of crown. Brim is losing some of its structure.,Revival of popular 1940's style. ,KHW66C,Kathleen Kubas,
2009.01.705,Kōkin New York black velvet picture hat ,Costume; Headgear; Hats,Black velvet picture hat with entire brim and sides of crown drowning in whispy black ostrich feathers. ,"After 1983, Before 2009",Kōkin New York,,Good condition. Minor makeup smudge on inside of crown.,Reminiscent of wig hats. Feathers are so light that hat  looks as if in constant motion as air moves the feathers around. ,KHW66C,Kathleen Kubas,
